Song Title,Artist,Album,Genre,Song Length,Release Year,Date Added,Play Count,Skip Count,Rating,Total Listen Time
14daboyz,Barry Leitch,Rush 2: Extreme Racing USA,Game,06:34,1998,2023-11-13T02:34:58Z,0,1,5,00:00:00
Amiga-ish,Barry Leitch,Rush 2: Extreme Racing USA,Game,10:02,1998,2023-11-13T02:34:59Z,1,1,5,00:10:02
Doin' Tyme,Barry Leitch,Rush 2: Extreme Racing USA,Game,06:54,1998,2023-11-13T02:34:59Z,1,1,5,00:06:54
Drumsnhula,Barry Leitch,Rush 2: Extreme Racing USA,Game,05:02,1998,2023-11-13T02:34:59Z,0,1,5,00:00:00
Headthumpin,Barry Leitch,Rush 2: Extreme Racing USA,Game,05:35,1998,2023-11-13T02:34:59Z,1,0,5,00:05:35
High Roll,Barry Leitch,Rush 2: Extreme Racing USA,Game,07:42,1998,2023-11-13T02:34:59Z,0,0,5,00:00:00
Low Rydin',Barry Leitch,Rush 2: Extreme Racing USA,Game,05:23,1998,2023-11-13T02:34:59Z,1,0,5,00:05:23
Menu,Barry Leitch,Rush 2: Extreme Racing USA,Game,02:44,1998,2023-11-13T02:34:59Z,1,1,5,00:02:44
Tinkletoon,Barry Leitch,Rush 2: Extreme Racing USA,Game,05:58,1998,2023-11-13T02:34:59Z,1,1,5,00:05:58
Title,Barry Leitch,Rush 2: Extreme Racing USA,Game,05:21,1998,2023-11-13T02:34:59Z,0,1,5,00:00:00
Tournament Ending (Failure),Barry Leitch,Rush 2: Extreme Racing USA,Game,01:34,1998,2023-11-13T02:34:59Z,2,1,5,00:03:09
Tournament Ending (Success),Barry Leitch,Rush 2: Extreme Racing USA,Game,02:07,1998,2023-11-13T02:34:59Z,1,0,5,00:02:07
Diddy Kong Racing Theme,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:11,1998,2023-11-13T02:34:59Z,1,0,5,00:01:11
Character Select,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:31,1998,2023-11-13T02:34:59Z,0,1,4,00:00:00
Central Area Introduction,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:05,1998,2023-11-13T02:34:59Z,0,0,4,00:00:00
Central Area Themes,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:37,1998,2023-11-13T02:34:59Z,0,0,4,00:00:00
Lobby Theme Tune,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:53,1998,2023-11-13T02:34:59Z,1,1,4,00:01:53
T.T.'s Theme,David Wise,Diddy Kong Racing Original Soundtrack,Game,01:26,1998,2023-11-13T02:34:59Z,0,1,4,00:00:00
Ancient Lake,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:31,1998,2023-11-13T02:34:59Z,1,0,4,00:02:31
Fossil Canyon,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:45,1998,2023-11-13T02:34:59Z,1,0,4,00:02:45
Jungle Falls,David Wise,Diddy Kong Racing Original Soundtrack,Game,02:19,1998,2023-11-13T02:34:59Z,0,0,4,00:00:00
Hot Top Volcano,David Wise,Diddy Kong Racing Original Soundtrack,Game,03:12,1998,2023-11-13T02:34:59Z,2,1,4,00:06:24
